id,name,category,area,price,description,features,url
hotel-001,横浜ロイヤルパークホテル,ホテル,みなとみらい,¥20000-50000,みなとみらいの中心、ランドマークタワー内の高層ホテル。夜景が美しい客室が人気。,夜景|高層階|レストラン充実,https://www.yrph.com/
hotel-002,インターコンチネンタル横浜Pier 8,ホテル,みなとみらい,¥25000-60000,大さん橋に隣接したウォーターフロントホテル。横浜港の景色を一望できる。,ウォーターフロント|ラグジュアリー|スパ,https://www.ichotelsgroup.com/
hotel-003,ホテルニューグランド,ホテル,山下公園,¥15000-40000,1927年開業の歴史あるクラシックホテル。山下公園に面した最高の立地。,歴史的建造物|クラシック|山下公園,https://www.hotel-newgrand.co.jp/
rest-001,聘珍樓 横浜本店,中華料理,中華街,¥5000-15000,明治17年創業の老舗広東料理店。伝統の味を守り続ける名店。,老舗|広東料理|個室あり,https://www.heichinrou.com/
rest-002,梅蘭 本店,中華料理,中華街,¥3000-8000,名物「梅蘭焼きそば」で有名。ボリューム満点の中華料理が楽しめる。,名物料理|ボリューム|アクセス良好,https://www.bairan.co.jp/
rest-003,スカイラウンジ シリウス,フレンチ,みなとみらい,¥10000-30000,ランドマークタワー70階の絶景レストラン。夜景とともに楽しむフレンチ。,絶景|記念日|ドレスコード,https://www.yrph.com/restaurant/sirius/
rest-004,bills 横浜赤レンガ倉庫,カフェ・洋食,赤レンガ倉庫,¥2000-5000,世界一の朝食と称されるパンケーキが人気。テラス席でゆったりとした時間を。,パンケーキ|テラス席|朝食,https://bills-jp.net/
rest-005,横浜うかい亭,鉄板焼き,みなとみらい,¥15000-40000,厳選された和牛を目の前で調理。特別な日にふさわしい高級鉄板焼き。,鉄板焼き|高級|記念日,https://www.ukai.co.jp/yokohama/
rest-006,崎陽軒本店,中華料理,横浜駅,¥3000-10000,シウマイで有名な崎陽軒の本店。多彩な中華料理が楽しめる。,シウマイ|横浜名物|団体可,https://kiyoken.com/
act-001,横浜ベイクルーズ,クルーズ,山下公園,¥2500-8000,横浜港を周遊するクルーズ。ディナークルーズは特に人気。,夜景|食事付き|記念日,https://www.yokohama-cruising.jp/
act-002,カップヌードルミュージアム,体験施設,みなとみらい,¥500-1000,オリジナルカップヌードルが作れる体験型ミュージアム。,体験|ファミリー|お土産,https://www.cupnoodles-museum.jp/
act-003,横浜着物レンタル,着物体験,元町・中華街,¥3000-8000,着物を着て横浜の街を散策。写真撮影も含まれたプラン。,着物|散策|写真撮影,#

