area,name,category,address,phone,email,website,sns,description,cuisine_type,business_hours,price_rank,coupon_available,keywords
みなとみらい,横浜ランドマークタワー,activity,横浜市西区みなとみらい2-2-1,045-222-5030,,https://www.yokohama-landmark.jp/,,展望フロア、ショッピングモール、ホテル併設,,10:00～22：00スカイガーデン11:00～19：00/2F3F,,,
桜木町,横浜赤レンガ倉庫,activity,横浜市中区新港1-1,045-227-2002,,https://www.yokohama-akarenga.jp/,,歴史的建造物、イベントスペース、ショッピング・飲食店あり,,11:00～20:00,,,
山下公園・中華街,横浜関帝廟,activity,横浜市中区山下町140,045-681-3967,,https://www.yokohama-kanteibyo.com/,,中国の伝統的建築、祈願体験も可,,9:00～19:00,,,
元町・山手,アメリカ山公園,activity,横浜市中区元町1-11-3,045-232-4661,,,,元町直結の丘上公園、夜景・庭園が人気,,-,,,
山下公園・中華街,氷川丸（日本郵船）,activity,横浜市中区山下町山下公園内,045-641-4362,,https://www.nyk.com/rekishi/hikawamaru/,,歴史的船舶、船内見学可能,,10:00～17:00　月休,,,
みなとみらい,カップヌードルミュージアム 横浜,activity,横浜市中区新港2-3-4,045-345-0918,,https://www.cupnoodles-museum.jp/ja/yokohama/,,インスタントラーメン体験・ミュージアムショップ,,10:00～18:00　火休,,,
桜木町,横浜コスモワールド,activity,横浜市中区新港2-8-1,045-641-6591,,http://cosmoworld.jp/,,入園無料、観覧車や絶叫マシンが人気,,11:00～21:00,,,
山下公園・中華街,横浜マリンタワー,activity,横浜市中区山下町15番地,045-664-1100,,https://www.marinetower.yokohama/,,展望台・夜景スポット・リニューアルオープン,,10:00～22:00,,,
関内,横浜スタジアム,activity,横浜市中区横浜公園,045-661-1251,,https://www.yokohama-stadium.co.jp/,,野球観戦・ライブイベント対応,,不定休,,,
桜木町,原鉄道模型博物館,activity,横浜市西区高島1-1-2 横浜三井ビルディング2階,045-640-6699,,https://www.hara-mrm.com/,,鉄道ファン必見・精巧なジオラマ展示,,10:00～17:00　火水休,,,
みなとみらい,横浜着物レンタル Vasara みなとみらい店,activity,横浜市西区伊勢町1-15染谷ビル2F,03-6744-6725,,https://vasara-h.co.jp/shop/yokohama/,https://www.instagram.com/kimono_vasara,外国語対応・着物散策体験・写真映え,,9:00～18:00,,,
みなとみらい,横浜アート陶芸教室,activity,横浜市中区花咲町2₋69小原ビル１F,045-250-1266,,https://www.mm21tougei.com/inquiry/#wpcf7-f4-p20-o1,,外国人OK・英語対応可・手びねり体験,,10:30～16:00　月休,,,
関内,横浜ものつくりハンドメイト陶芸体験,activity,横浜市中区大和町2-47-5メゾン・ド・ポミエ102,03-6862-5311,,https://www.activityjapan.co.jp,,月・火・水・木・土・日　10：00～、13：30～、16：00～、18:00～ハンドメイド陶芸,,金休,,,
山下公園・中華街,横浜おもてなし家（人力車）,activity,横浜市中区小港町1-5　小港マンション403,045-622-8146,,http://www.yokohama-jinrikisha.com/rickshaw,,はまの人力車/観光散策5コース(30分/40分/50分/70分/80分）,,11:00～20:00,,,
