エリア,名称,カテゴリ,住所,電話番号,メールアドレス,ホームページ,SNS,特徴,設備,席数,価格帯（目安）,営業時間,"～2,000円","～6,000円","～12,000円","～20,000円","～30,000円","30,000円～","50,000円～",アプローチ日,,,,
みなとみらい,横浜ランドマークタワー,観光施設,横浜市西区みなとみらい2-2-1,045-222-5030,,https://www.yokohama-landmark.jp/,,展望フロア、ショッピングモール、ホテル併設,,,"¥1,000（展望台）〜",10:00～22：00スカイガーデン11:00～19：00/2F3F,●,,,,,,,,,,,
桜木町,横浜赤レンガ倉庫,観光施設,横浜市中区新港1-1,045-227-2002,,https://www.yokohama-akarenga.jp/,,歴史的建造物、イベントスペース、ショッピング・飲食店あり,,,入場無料（店舗・イベント別料金）,11:00～20:00,,,,,,,,,,,,
中華街,横浜関帝廟,観光施設,横浜市中区山下町140,045-681-3967,,https://www.yokohama-kanteibyo.com/,,中国の伝統的建築、祈願体験も可,,,¥100〜¥500（参拝料）,9:00～19:00,●,,,,,,,,,,,
元町,アメリカ山公園,観光施設,横浜市中区元町1-11-3,045-232-4661,,,,元町直結の丘上公園、夜景・庭園が人気,,,無料,-,,,,,,,,,,,,
山下公園,氷川丸（日本郵船）,観光施設,横浜市中区山下町山下公園内,045-641-4362,,https://www.nyk.com/rekishi/hikawamaru/,,歴史的船舶、船内見学可能,,,¥300〜¥500,10:00～17:00　月休,●,,,,,,,,,,,
みなとみらい,カップヌードルミュージアム 横浜,観光施設,横浜市中区新港2-3-4,045-345-0918,,https://www.cupnoodles-museum.jp/ja/yokohama/,,インスタントラーメン体験・ミュージアムショップ,,,¥500（体験別料金）,10:00～18:00　火休,●,,,,,,,,,,,
桜木町,横浜コスモワールド,観光施設,横浜市中区新港2-8-1,045-641-6591,,http://cosmoworld.jp/,,入園無料、観覧車や絶叫マシンが人気,,,¥300〜¥800（乗り物単位）,11:00～21:00　,●,,,,,,,,,,,
山下町,横浜マリンタワー,観光施設,横浜市中区山下町15番地,045-664-1100,,https://www.marinetower.yokohama/,,展望台・夜景スポット・リニューアルオープン,,,"¥1,000前後",10:00～22:00　,●,,,,,,,,,,,
関内,横浜スタジアム,観光施設／スポーツ施設,横浜市中区横浜公園,045-661-1251,,https://www.yokohama-stadium.co.jp/,,野球観戦・ライブイベント対応,,,"¥1,000〜¥8,000（イベントにより異なる）",不定休,●,,,,,,,,,,,
桜木町,原鉄道模型博物館,観光施設,横浜市西区高島1-1-2 横浜三井ビルディング2階,045-640-6699,,https://www.hara-mrm.com/,,鉄道ファン必見・精巧なジオラマ展示,,,"¥1,000〜¥1,500",10:00～17:00　火水休,●,,,,,,,,,,,
みまとみらい,横浜着物レンタル Vasara みなとみらい店,体験アクティビティ,横浜市西区伊勢町1-15染谷ビル2F,03-6744-6725,,https://vasara-h.co.jp/shop/yokohama/,https://www.instagram.com/kimono_vasara,外国語対応・着物散策体験・写真映え,,,"¥4,000〜¥10,000",9:00～18:00,,●,●,,,,,8月17日,,,,
みなとみらい,横浜アート陶芸教室,体験アクティビティ,横浜市中区花咲町2₋69小原ビル１F,045-250-1266,,https://www.mm21tougei.com/inquiry/#wpcf7-f4-p20-o1,,外国人OK・英語対応可・手びねり体験,,,"¥3,500〜¥5,500",10:30～16:00　月休,●,●,,,,,,8月17日,,,,
関内,横浜ものつくりハンドメイト陶芸体験,体験アクティビティ,横浜市中区大和町2-47-5メゾン・ド・ポミエ102,03-6862-5311,株式会社 アクティビティジャパン,https://www.activityjapan.co.jp,,月・火・水・木・土・日　10：00～、13：30～、16：00～、18:00～ハンドメイド陶芸,,,"￥5,000～￥6,000",金休,,●,,,,,,確認済,,,,
中華街,横浜おもてなし家（人力車）,体験アクティビティ,横浜市中区小港町1-5　小港マンション403,045-622-8146,,http://www.yokohama-jinrikisha.com/rickshaw,,はまの人力車/観光散策5コース(30分/40分/50分/70分/80分）,,,"￥6,000/8,000/10,000/14,000/36,000",11:00～20:00,,●,●,●,●,●,,,,,,
みなとみらい,VR ZONE Portal 横浜,体験アクティビティ,横浜市中区新港2-2-1 横浜ワールドポーターズ 5F,045-222-2567,,https://vrzone-pic.com/portal/yokohama/,,最新VR体験・グループ利用可・外国人にも人気,,,"¥1,500〜¥3,000",10:00～18：00,,●,,,,,,確認済,,,,
みなとみらい,SUP体験（スタンドアップパドル）,体験アクティビティ,横浜市中区新港周辺 運河エリア,090-3502-2701, supyokohama@gmail.com,https://yokohamasup-club.com,https://www.instagram.com/supyokohama/,運河での水上体験・初心者OK・外国人対応,,,"¥4,000〜¥7,000",10:00～11:30/13:00～14:30,,●,●,,,,,確認済,,,,
みなとみらい,SKY DUCK 横浜,体験アクティビティ,東京都文京区後楽1-1-8,03-3215-0008,,https://www.skybus.jp/sp/course,https://www.instagram.com/skybus_hinomaru_official/,水陸両用車グルーズ/2コース（昼・ナイトクルーズ）,,,"¥3,600/¥4,000",10：00/ 11：30 / 14：15 / 15：45平日　　　　　　　　　　　　　10：00/10：45/11：30/ 13：45/ 14：30 / 15：15 / 16：00/16：45土日　水休　　　　　　　　　　　　　　　　,,●,,,,,,確認済,,,,
桜木町,マリンルージュ ナイトクルーズ,体験アクティビティ,横浜市中区山下町 山下公園前,045-671-7719,,https://www.yokohama-cruising.jp/,https://www.instagram.com/yokohama.cruise/,ランチ・アフタヌーン・トワイライト・ディナー夜景観賞4種コース,,,"￥11,200/￥4,000/￥8,800/¥19,600",12:00/14:30/17:00/19:30,,●,●,●,,,,8月17日,,,,
山下公園,シーバス 横浜ベイクルーズ,体験アクティビティ,横浜市中区山下町 山下公園りんかい口,045-671-7719,,https://www.yokohama-cruising.jp/contents/seabass.html,https://www.instagram.com/yokohama.cruise/,みなとみらい〜横浜駅直通の水上バス・観光対応,,,"¥700〜¥1,500",10:00～18:00,●,,,,,,,確認済,,,,
金沢,濱進（Hamashin）,屋形船,横浜市金沢区金沢町103-6,045-781-7377,yakatabune@hamashin.co.jp,https://www.hamashin.co.jp/english/index.html,,金沢沖直送鮮魚＋Hayama牛コース、3船体制で快適クルーズ,,,"¥8,250〜¥16,500",18:00～20:30,,●,●,●,,,,8月17日,,,,
西区,すずよし（Suzuyoshi）,屋形船,横浜市西区西戸部町3-297-10,045-231-1600,,http://suzuyoshi.jp/,,コタツ席、カラオケ付き、乗合＆貸切、演奏イベントあり,,,"¥7,000〜¥11,000",18:00～20:30,,●,●,,,,,8月17日,,,,
神奈川,横浜屋形船ピア・フォー,屋形船,横浜市神奈川区浦島町380,045-441-0404,info@pier4.net,http://www.yakatabune.jp,,掘りごたつ式、横浜地産野菜＋穴子天ぷら使用,,,"¥8,000〜¥11,000",18:00～20:30,,●,●,,,,,8月17日,,,,
横浜港,祝良屋（いわいや）,屋形船,横浜市内（出航地により異なる）,03-6435-6108,,https://yakatabune.anniversary-cruise.com/en/,,太鼓・忍者・折り紙などパフォーマンス体験,,,"要問い合わせ￥12,000（参考価格）",18:00～20:30,,,●,,,,,8月17日,,,,
元町,COFFEE ROASTERY MEGURO,カフェ,横浜市中区山下町３７−９,,,https://roasterymeguro.com,,カフェレストラン/モーニング・ランチ,全席禁煙,40席,"￥2,000～￥3,500",9:00～20:00,●,●,,,,,,8月19日,,,,
元町,エリゼ光,フランス料理,横浜市中区山手町246,045-622-2014,,https://elysee-hikaru.com,https://www.instagram.com/elyseehikaru/,高級フレンチ、記念日向き、おしゃれな空間、ソムリエいる,個室あり、全席禁煙,36席,"¥5,000〜¥12,000",11:30～15:00 /17:30～22:30 　水休,,●,●ディナー,,,,,8月17日,,,,
元町,pavlov,カフェショップ,横浜市中区山下町105,045-641-1266,,https://www.pavlov.jp/shop/,https://www.instagram.com/pavlov._official,洋風英国的な高級カフェ、おしゃれな空間,全席禁煙,20席＋ソファ4席,"¥3.000〜¥5,000",11:00～19:00 月休,●,●,,,,,,8月19日,,,,
元町,kandy,イタリアン,神奈川県横浜市中区元町3-143 ヒルサイド元町1F ,045-633-3301,,https://www.italian-tearoom-kandy.com,https://www.instagram.com/motoya.espresso.express/,カジュアルイタリアン、おしゃれな空間,全席禁煙,20席（4人1テーブル）,"¥3.000〜¥6,000",11:00～15:00 /17:00～22:00 火水休,●,●,,,,,,8月19日,,,,
元町,マークガストロミー＆ワイン,フレンチ,神奈川県 横浜市中区元町1丁目37‐10,045-680-0966,,https://r.goope.jp/marques,https://www.instagram.com/marquesgastronomyandwine/,高級フレンチ、完全予約制,全席禁煙,20席,"8,000～25,000",月18:00～22:00  水木金:12:00-15:00/18:00-22:30 土日祝:12:00-15:00/18:00-22:00　火休,,●,●ディナー,,,,,8月20日,,,,
元町,Rio’s Buongustaio（リオス ボングスタイオ,イタリアン,神奈川県横浜市中区元町1-23-1 リバーサイド元町 1F,045-222-6101,,https://riosbuongustaio.ciao.jp,,カジュアルイタリアン　店内狭い,全席禁煙,18席,"¥2.000〜¥6,000",平祝:12:00～14:30/17:30-22:00  　　土祝前日:12:00-14:30/17:30-22:30 土:12:00-14:30/17:30-22:30　火休,,●●,,,,,,確認済,,,,
元町,スタージュエリー カフェ＆レストラン,カフェ・洋食,横浜市中区元町1-24-1,045-641-0650,,https://www.star-jewelry.com/shopinfo/motomachi.html,https://www.instagram.com/starjewelry_press/,カジュアルブランド直営カフェ、洗練された広い空間,半個室あり、全席禁煙,40席,"¥2,000〜¥3,500",火水木:11:00-18:00  　　　　　　　　　　　　　　金土日祝:11:00-19:00　月休,●,●,,,,,,確認済,,,,
元町,La Royale,フレンチ,横浜市中区新山下１－4－3　MMTビル　２F,045-264-8585,,https://larpyale-yokohama.owst.jp,,高級肉魚フレンチ、おしゃれな広い空間,個室あり、全席禁煙,30席,"15,000～20,000",平土:11:30-15:00/17:30-22:00  　　　　　　　　　　　　　日祝:11:30-15:00/17:00-21:00　火休,,●,●ディナー,,,,,確認済,,,,
元町,馬肉料理　小桜,和食,横浜市中区元町１-23-1　リバーサイド元町1F,045-264-4238,,https://baniku-kozakura.owst.jp,,高級和食系馬肉料理　美味しい　落ち着いた空間　,個室あり、全席禁煙,15席,"2,000～10,000",平土:11:30-15:00/17:00-22:00  　　　　　　　　　　　　　日:11:30-15:00 　月休,●,●,●ディナー,,,,,確認済,,,,
元町,あおぞら,洋食レストラン,横浜市中区元町４−１６１,045-299-0573,,https://vaghat.wixsite.com/aozora/,,カジュアル肉魚洋食レストラン　駅5分,全席禁煙,20席,"2,000～6,000",平土:11:30-15:00/17:00-22:00  　　　　　　　　　　　　　日:11:30-15:00 　月休,●,●,,,,,,確認済,,,,
